BROAD	MORPHOLOGY	TYPE	FINE	RELIEF	CODE
Unscorable				*	1
Sponges	Unknown			*	10000000
Sponges	Crusts	Unknown		*	10000901
Sponges	Crusts	Encrusting		*	10000902
Sponges	Massive Forms	Unknown		*	10000903
Sponges	Massive Forms	Simple		*	10000904
Sponges	Massive Forms	Balls		*	10000905
Sponges	Erect Forms	Stalked		*	10000906
Sponges	Cup-Likes	Barrels		*	10000907
Sponges	Massive Forms	Cryptic		*	10000908
Sponges	Cup-Likes	Unknown		*	10000909
Sponges	Cup-Likes	Cups		*	10000910
Sponges	Cup-Likes	Tubes And Chimneys		*	10000911
Sponges	Erect Forms	Unknown		*	10000912
Sponges	Erect Forms	Laminar		*	10000913
Sponges	Erect Forms	Palmate		*	10000914
Sponges	Erect Forms	Branching		*	10000915
Sponges	Erect Forms	Simple		*	10000916
Sponges	Crusts	Creeping / Ramose		*	10000917
Sponges	Crusts	Endolithic / Bioeroding		*	10000921
Jellies	Hydromedusae			*	11000901
Cnidaria	Hydroids	Unknown		*	11001000
Cnidaria	Hydroids	Bryozoa / Cnidaria Matrix		*	11001000
Cnidaria	Hydroids	Bryozoa / Cnidaria Matrix		*	11001000
Cnidaria	Hydrocorals	Unknown		*	11077000
Cnidaria	Hydrocorals	Branching		*	11077906
Cnidaria	Hydrocorals	Submassive / Encrusting		*	11077907
Jellies	Siphonophores			*	11090000
Jellies	Scyphozoa			*	11120000
Jellies	Cubozoa			*	11150000
Cnidaria	Tube Anemones			*	11164000
Cnidaria	Corals	Unknown		*	11168000
Cnidaria	Corals	Black & Octocorals		*	11168901
Cnidaria	Corals	Black & Octocorals	Soft Coral	*	11168901
Cnidaria	Corals	Black & Octocorals	Branching (3D)	*	11168902
Cnidaria	Corals	Black & Octocorals	Fan (2D)	*	11168912
Cnidaria	Corals	Black & Octocorals	Whip	*	11168917
Cnidaria	Corals	Black & Octocorals	Whip	*	11168917
Cnidaria	Corals	Black & Octocorals	Quill (Seapen)	*	11168918
Cnidaria	Corals	Black & Octocorals	Encrusting	*	11168919
Cnidaria	Corals	Black & Octocorals	Massive Soft Corals	*	11168920
Cnidaria	Corals	Black & Octocorals	Blue Coral (Heliopora)	*	11171000
Cnidaria	Corals	Black & Octocorals	Organ Pipe Coral (Tubipora)	*	11201901
Cnidaria	True Anemones	Unknown		*	11229000
Cnidaria	True Anemones	Grey Striated Edwardsia Like		*	11229000
Cnidaria	True Anemones	Flytrap		*	11229901
Cnidaria	True Anemones	Fourlobed		*	11229902
Cnidaria	True Anemones	Other Anemones		*	11229903
Cnidaria	Colonial Anemones	Corallimorphs		*	11280000
Cnidaria	Colonial Anemones	Zoanthids		*	11284000
Cnidaria	Corals	Stony Corals	Unknown	*	11290000
Cnidaria	Corals	Stony Corals	Bleached	*	11290000
Cnidaria	Corals	Stony Corals	Solitary	*	11290901
Cnidaria	Corals	Stony Corals	Bottlebrush	*	11290904
Cnidaria	Corals	Stony Corals	Sub-Massive	*	11290905
Cnidaria	Corals	Stony Corals	Massive	*	11290906
Cnidaria	Corals	Stony Corals	Foliose / Plate	*	11290907
Cnidaria	Corals	Stony Corals	Encrusting	*	11290908
Cnidaria	Corals	Stony Corals	Digitate	*	11290909
Cnidaria	Corals	Stony Corals	Corymbose	*	11290910
Cnidaria	Corals	Stony Corals	Tabulate	*	11290911
Cnidaria	Corals	Stony Corals	Branching	*	11290912
Cnidaria	Corals	Stony Corals	Staghorn	*	11290913
Cnidaria	Corals	Stony Corals	Columnar	*	11290915
Cnidaria	Corals	Stony Corals	Solitary	*	11298000
Cnidaria	Unknown			*	11500000
