"sample","date","image.name","relief.annotated"
"npz6.34",20210511,NA,80
"npz6.19",20210511,NA,80
"npz6.37",20210511,NA,80
"npz6.33",20210511,NA,80
"npz6.29",20210511,NA,80
"npz6.11",20210511,NA,80
"npz6.31",20210511,NA,80
"npz6.7",20210511,NA,80
"npz6.25",20210511,NA,80
"npz6.1",20210511,NA,80
"npz6.16",20210511,NA,80
"npz6.23",20210511,NA,80
"npz6.47",20210513,NA,80
"npz6.49",20210513,NA,80
"npz6.38",20210513,NA,80
"npz6.39",20210513,NA,80
"npz6.40",20210513,NA,80
"npz6.43",20210513,NA,80
"npz6.30",20210513,NA,80
"npz6.3",20210513,NA,80
"npz6.32",20210513,NA,80
"npz6.35",20210513,NA,80
"npz9.48",20210514,NA,80
"npz9.46",20210514,NA,80
"npz9.50",20210514,NA,80
"npz9.47",20210514,NA,80
"npz9.49",20210514,NA,80
"npz9.45",20210514,NA,80
"npz9.43",20210514,NA,80
"npz9.41",20210514,NA,80
"npz9.44",20210514,NA,80
"npz9.6",20210514,NA,80
"npz9.42",20210514,NA,80
"npz9.23",20210514,NA,80
