Dot Point Measurements																														
																														
Generated: Friday 08 October 2021 13:30:50																														
																														
Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	BROAD	MORPHOLOGY	TYPE	Relief	CODE			Radius %
npz6.10.jpg	0		768	1103													npz6.10	1					Unknown							15.8
npz6.10.jpg	0		725	718													npz6.10	1					Unknown							28.8
npz6.10.jpg	0		785	1047													npz6.10	1					Unknown							9.5
npz6.10.jpg	0		974	186													npz6.10	1					Unconsolidated	Pebble	gravel (gravel 2-10mm)		82001011			86.2
npz6.10.jpg	0		1054	73													npz6.10	1					Unconsolidated	Pebble	gravel (gravel 2-10mm)		82001011			100
npz6.10.jpg	0		768	1362													npz6.10	1					Unconsolidated	Sand	mud (coarse sand)		82001014			43.2
npz6.10.jpg	0		1018	461													npz6.10	1					Unconsolidated	Pebble	gravel (gravel 2-10mm)		82001011			58.8
npz6.10.jpg	0		1072	462													npz6.10	1					Unconsolidated	Pebble	gravel (gravel 2-10mm)		82001011			61.1
npz6.10.jpg	0		779	1265													npz6.10	1					Unconsolidated	Sand	mud (coarse sand)		82001014			32.6
npz6.10.jpg	0		756	953													npz6.10	1					Unconsolidated	Sand	mud (coarse sand)		82001014			7.1
npz6.10.jpg	0		551	317													npz6.10	1					Open Water							76.1
npz6.10.jpg	0		872	1535													npz6.10	1					Unconsolidated	Sand	mud (coarse sand)		82001014			61.8
npz6.10.jpg	0		922	991													npz6.10	1					Unconsolidated	Sand	mud (coarse sand)		82001014			11.4
npz6.10.jpg	0		759	239													npz6.10	1					Unconsolidated	Sand	mud (coarse sand)		82001014			79.1
npz6.10.jpg	0		946	1836													npz6.10	1					Unconsolidated	Sand	mud (coarse sand)		82001014			95.1
npz6.10.jpg	0		707	861													npz6.10	1					Unknown							16.7
npz6.10.jpg	0		937	1593													npz6.10	1					Unconsolidated	Sand	mud (coarse sand)		82001014			69
npz6.10.jpg	0		605	1301													npz6.10	1					Open Water							43
npz6.10.jpg	0		597	1509													npz6.10	1					Open Water							63.4
npz6.10.jpg	0		796	1523													npz6.10	1					Unconsolidated	Sand	mud (coarse sand)		82001014			60.3
npz6.12.jpg	0		948	1198													npz6.12	1					Unknown							36.7
npz6.12.jpg	0		945	1175													npz6.12	1					Unknown							34.4
npz6.12.jpg	0		691	527													npz6.12	1					Unconsolidated	Sand	mud (fine sand)		82001015			39.2
npz6.12.jpg	0		1013	1684													npz6.12	1					Unconsolidated	Sand	mud (fine sand)		82001015			87.5
npz6.12.jpg	0		809	1830													npz6.12	1					Unconsolidated	Sand	mud (fine sand)		82001015			100
npz6.12.jpg	0		673	32													npz6.12	1					Unknown							90.5
npz6.12.jpg	0		564	140													npz6.12	1					Open Water							82
npz6.12.jpg	0		738	497													npz6.12	1					Unconsolidated	Sand	mud (fine sand)		82001015			41.1
npz6.12.jpg	0		832	1549													npz6.12	1					Unconsolidated	Sand	mud (fine sand)		82001015			70.5
npz6.12.jpg	0		798	1005													npz6.12	1					Unconsolidated	Sand	mud (fine sand)		82001015			13.1
npz6.12.jpg	0		601	112													npz6.12	1					Open Water							83.8
npz6.12.jpg	0		896	1393													npz6.12	1					Unknown							54.8
npz6.12.jpg	0		979	1138													npz6.12	1					Unconsolidated	Sand	mud (fine sand)		82001015			32.8
npz6.12.jpg	0		921	1668													npz6.12	1					Unconsolidated	Sand	mud (fine sand)		82001015			83.8
npz6.12.jpg	0		925	278													npz6.12	1					Unconsolidated	Sand	mud (fine sand)		82001015			64.8
npz6.12.jpg	0		735	1296													npz6.12	1					Unconsolidated	Sand	mud (fine sand)		82001015			44.3
npz6.12.jpg	0		658	531													npz6.12	1					Unknown							39.9
npz6.12.jpg	0		582	68													npz6.12	1					Open Water							88.8
npz6.12.jpg	0		693	1388													npz6.12	1					Unknown							54.6
npz6.12.jpg	0		1070	109													npz6.12	1					Unconsolidated	Sand	mud (fine sand)		82001015			86
npz6.13.jpg	0		716	251													npz6.13	1					Invertebrate Complex	Complex 1						72.6
npz6.13.jpg	0		667	41													npz6.13	1					Octocoral/Black	Branching (3D)			11168902			95.4
npz6.13.jpg	0		656	1415													npz6.13	1					Open Water							53.2
npz6.13.jpg	0		663	1859													npz6.13	1					Open Water							100
npz6.13.jpg	0		698	227													npz6.13	1					Invertebrate Complex	Complex 1						75.3
npz6.13.jpg	0		621	542													npz6.13	1					Open Water							44.1
npz6.13.jpg	0		985	695													npz6.13	1					Consolidated	Rock	Turf mat		82001002			34.3
npz6.13.jpg	0		661	1760													npz6.13	1					Open Water							89.5
npz6.13.jpg	0		974	1709													npz6.13	1					Invertebrate Complex	Complex 1						86.3
npz6.13.jpg	0		1058	1439													npz6.13	1					Unconsolidated	Sand	mud (coarse sand)		82001014			62.8
npz6.13.jpg	0		767	617													npz6.13	1					Invertebrate Complex	Complex 1						33.3
npz6.13.jpg	0		578	1188													npz6.13	1					Open Water							34.2
npz6.13.jpg	0		670	833													npz6.13	1					Open Water							14.5
npz6.13.jpg	0		567	956													npz6.13	1					Open Water							21.4
npz6.13.jpg	0		763	1609													npz6.13	1					Open Water							72.6
npz6.13.jpg	0		736	957													npz6.13	1					Open Water							4.4
npz6.13.jpg	0		989	558													npz6.13	1					Bryozoa				20000000			46.3
npz6.13.jpg	0		597	33													npz6.13	1					Open Water							97.4
npz6.13.jpg	0		902	396													npz6.13	1					Invertebrate Complex	Complex 1						58.7
npz6.13.jpg	0		1042	1494													npz6.13	1					Invertebrate Complex	Complex 1						67.2
npz6.14.jpg	0		612	891													npz6.14	1					Macroalgae	Erect fine branching	Red		90300910			24.6
npz6.14.jpg	0		795	245													npz6.14	1					Macroalgae	Large canopy-forming	Ecklonia radiata		54080001			81.3
npz6.14.jpg	0		1044	1821													npz6.14	1					Unknown							80.5
