Dot Point Measurements																														
																														
Generated: Friday 16 July 2021 10:40:06																														
																														
Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	BROAD	MORPHOLOGY	TYPE	Relief	CODE			Radius %
npz6.1.jpg	0		1810	2197													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			29.5
npz6.1.jpg	0		1808	2710													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			49.4
npz6.1.jpg	0		1693	2084													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			21.8
npz6.1.jpg	0		1763	3667													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			92
npz6.1.jpg	0		1766	2221													2021-Abrolhos-BOSS	npz6.1					Invertebrate Complex	Complex 1						28.8
npz6.1.jpg	0		1921	1994													2021-Abrolhos-BOSS	npz6.1					Unconsolidated	Sand	mud (coarse sand)		82001014			28.9
npz6.1.jpg	0		2148	2860													2021-Abrolhos-BOSS	npz6.1					Unconsolidated	Sand	mud (coarse sand)		82001014			63.9
npz6.1.jpg	0		1979	3466													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			85.6
npz6.1.jpg	0		1872	3474													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			84.4
npz6.1.jpg	0		1767	3552													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			86.7
npz6.1.jpg	0		1677	3398													2021-Abrolhos-BOSS	npz6.1					Sponges	Small mixed			10000000			78.6
npz6.1.jpg	0		2009	3203													2021-Abrolhos-BOSS	npz6.1					Invertebrate Complex	Complex 1						74.7
npz6.1.jpg	0		1647	2755													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			48.6
npz6.1.jpg	0		2132	1066													2021-Abrolhos-BOSS	npz6.1					Unconsolidated	Sand	mud (coarse sand)		82001014			50.2
npz6.1.jpg	0		1783	1357													2021-Abrolhos-BOSS	npz6.1					Sponges	Massive forms			10000903			28.6
npz6.1.jpg	0		1743	332													2021-Abrolhos-BOSS	npz6.1					Sponges	Small mixed			10000000			71.2
npz6.1.jpg	0		1703	1091													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			36.7
npz6.1.jpg	0		1877	852													2021-Abrolhos-BOSS	npz6.1					Unconsolidated	Sand	mud (coarse sand)		82001014			50.6
npz6.1.jpg	0		2029	1708													2021-Abrolhos-BOSS	npz6.1					Unconsolidated	Sand	mud (coarse sand)		82001014			32.3
npz6.1.jpg	0		1759	308													2021-Abrolhos-BOSS	npz6.1					Sponges	Small mixed			10000000			72.5
npz6.1.jpg	0		1928	66													2021-Abrolhos-BOSS	npz6.1					Unconsolidated	Sand	mud (coarse sand)		82001014			85.9
npz6.1.jpg	0		1986	1334													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			36.7
npz6.1.jpg	0		2115	472													2021-Abrolhos-BOSS	npz6.1					Unconsolidated	Sand	mud (coarse sand)		82001014			71.9
npz6.1.jpg	0		1886	957													2021-Abrolhos-BOSS	npz6.1					Unconsolidated	Sand	mud (coarse sand)		82001014			46.6
npz6.1.jpg	0		1692	52													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			83.6
npz6.1.jpg	0		1734	542													2021-Abrolhos-BOSS	npz6.1					Sponges	Massive forms			10000903			61.5
npz6.1.jpg	0		2044	423													2021-Abrolhos-BOSS	npz6.1					Unconsolidated	Sand	mud (coarse sand)		82001014			72.3
npz6.1.jpg	0		1795	1454													2021-Abrolhos-BOSS	npz6.1					Sponges	Small mixed			10000000			26
npz6.1.jpg	0		1714	1832													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			17.4
npz6.1.jpg	0		1978	381													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			72.8
npz6.1.jpg	0		1830	767													2021-Abrolhos-BOSS	npz6.1					Sponges	Erect forms			10000912			53.2
npz6.1.jpg	0		1975	673													2021-Abrolhos-BOSS	npz6.1					Unconsolidated	Sand	mud (coarse sand)		82001014			60.3
npz6.1.jpg	0		2008	1125													2021-Abrolhos-BOSS	npz6.1					Consolidated	Rock	Turf mat		82001002			44
npz6.10.jpg	0		647	1576													2021-Abrolhos-BOSS	npz6.10					Unconsolidated	Sand	mud (coarse sand)		82001014			39.4
npz6.10.jpg	0		754	304													2021-Abrolhos-BOSS	npz6.10					Unconsolidated	Sand	mud (coarse sand)		82001014			88.3
npz6.10.jpg	0		711	1096													2021-Abrolhos-BOSS	npz6.10					Unconsolidated	Sand	mud (coarse sand)		82001014			52.9
npz6.10.jpg	0		952	1631													2021-Abrolhos-BOSS	npz6.10					Unconsolidated	Sand	mud (coarse sand)		82001014			24.2
npz6.10.jpg	0		1065	850													2021-Abrolhos-BOSS	npz6.10					Unconsolidated	Sand	mud (coarse sand)		82001014			56.4
npz6.10.jpg	0		757	1271													2021-Abrolhos-BOSS	npz6.10					Unconsolidated	Sand	mud (coarse sand)		82001014			44.3
