Period,Longitude,Latitude,Date,Time,Location,Site,Status,Depth,Observer,Successful.count
npz6.4,113.2764,-28.0769,20210513,15:48:54,NPZ6,npz6.4,No-take,189,Claude,Y
npz9.24,113.2072,-27.1612,20210514,9:29:23,NPZ9,npz9.24,No-take,82.1,Claude,Y
npz9.48,113.2013,-27.1527,20210514,9:43:21,NPZ9,npz9.48,No-take,84.5,Claude,Y
npz9.46,113.1916,-27.149,20210514,9:56:50,NPZ9,np79.46,No-take,83.8,Claude,Y
npz9.19,113.2129,-27.1465,20210514,10:15:01,NPZ9,npz9.19,No-take,87,Claude,Y
npz9.50,113.2016,-27.1444,20210514,10:29:15,NPZ9,npz9.50,No-take,91.5,Claude,Y
npz9.47,113.1916,-27.1397,20210514,10:43:23,NPZ9,npz9.47,No-take,83.2,Claude,Y
npz9.49,113.1883,-27.1297,20210514,10:57:37,NPZ9,npz9.49,No-take,81.5,Claude,Y
npz9.45,113.1821,-27.1341,20210514,11:09:30,NPZ9,npz9.45,No-take,82.5,Claude,Y
npz9.43,113.1779,-27.1363,20210514,11:20:59,NPZ9,npz9.43,No-take,82.7,Claude,Y
npz9.5,113.1603,-27.1519,20210514,11:38:52,NPZ9,npz9.5,No-take,85.9,Claude,Y
npz9.14,113.1421,-27.1561,20210514,11:55:54,NPZ9,npz9.14,No-take,103,Claude,Y
npz9.7,113.136,-27.1463,20210514,12:10:39,NPZ9,npz9.7,No-take,103,Claude,Y
npz9.16,113.1278,-27.134,20210514,12:27:16,NPZ9,npz9.16,No-take,102,Claude,Y
npz9.8,113.1204,-27.1354,20210514,12:41:29,NPZ9,npz9.8,No-take,108,Claude,Y
npz9.26,113.122,-27.1256,20210514,12:55:13,NPZ9,npz9.26,No-take,103,Claude,Y
npz9.27,113.1335,-27.1253,20210514,13:08:55,NPZ9,npz9.27,No-take,93.7,Claude,Y
npz9.13,113.1497,-27.1268,20210514,13:24:19,NPZ9,npz9.13,No-take,88.7,Claude,Y
npz9.41,113.1699,-27.1233,20210514,13:40:49,NPZ9,npz9.41,No-take,85.5,Claude,Y
npz9.44,113.1729,-27.1188,20210514,13:53:11,NPZ9,npz9.44,No-take,85.2,Claude,Y
npz9.22,113.1862,-27.1211,20210514,14:07:20,NPZ9,npz9.22,No-take,85.7,Claude,Y
npz9.6,113.1905,-27.1197,20210514,14:18:47,NPZ9,npz9.6,No-take,90.4,Claude,Y
npz9.4,113.172,-27.1088,20210514,14:37:37,NPZ9,npz9.4,No-take,85.1,Claude,Y
npz9.9,113.1518,-27.1023,20210514,14:55:14,NPZ9,npz9.9,No-take,87.8,Claude,Y
npz9.42,113.15,-27.0979,20210514,15:06:31,NPZ9,npz9.42,No-take,87.6,Claude,Y
npz9.17,113.1122,-27.101,20210514,15:28:45,NPZ9,npz9.17,No-take,95.4,Claude,Y
npz9.25,113.1066,-27.1036,20210514,15:44:35,NPZ9,npz9.25,No-take,103,Claude,Y
npz9.1,113.1022,-27.0953,20210514,16:00:30,NPZ9,npz9.1,No-take,102,Claude,Y
npz9.23,113.0833,-27.098,20210514,16:22:37,NPZ9,npz9.23,No-take,119,Claude,Y
npz9.21,113.077,-27.1128,20210514,16:40:35,NPZ9,npz9.21,No-take,127,Claude,Y
